NIH,ChestX-ray14,scan,mask
NIH_0010,00009863_008.png,images/NIH_0010.png,masks/NIH_0010_mask.png
NIH_0017,00003028_078.png,images/NIH_0017.png,masks/NIH_0017_mask.png
NIH_0065,00012045_005.png,images/NIH_0065.png,masks/NIH_0065_mask.png
NIH_0019,00029481_008.png,images/NIH_0019.png,masks/NIH_0019_mask.png
NIH_0062,00010805_040.png,images/NIH_0062.png,masks/NIH_0062_mask.png
NIH_0057,00011950_019.png,images/NIH_0057.png,masks/NIH_0057_mask.png
NIH_0086,00004648_001.png,images/NIH_0086.png,masks/NIH_0086_mask.png
NIH_0050,00019499_006.png,images/NIH_0050.png,masks/NIH_0050_mask.png
NIH_0081,00022572_048.png,images/NIH_0081.png,masks/NIH_0081_mask.png
NIH_0022,00014398_023.png,images/NIH_0022.png,masks/NIH_0022_mask.png
NIH_0025,00017753_003.png,images/NIH_0025.png,masks/NIH_0025_mask.png
NIH_0059,00020289_004.png,images/NIH_0059.png,masks/NIH_0059_mask.png
NIH_0088,00004832_025.png,images/NIH_0088.png,masks/NIH_0088_mask.png
NIH_0034,00009863_038.png,images/NIH_0034.png,masks/NIH_0034_mask.png
NIH_0099,00018840_034.png,images/NIH_0099.png,masks/NIH_0099_mask.png
NIH_0048,00018984_001.png,images/NIH_0048.png,masks/NIH_0048_mask.png
NIH_0033,00009863_020.png,images/NIH_0033.png,masks/NIH_0033_mask.png
NIH_0090,00009218_026.png,images/NIH_0090.png,masks/NIH_0090_mask.png
NIH_0041,00010315_006.png,images/NIH_0041.png,masks/NIH_0041_mask.png
NIH_0097,00018610_041.png,images/NIH_0097.png,masks/NIH_0097_mask.png
NIH_0046,00007444_004.png,images/NIH_0046.png,masks/NIH_0046_mask.png
NIH_0073,00002227_003.png,images/NIH_0073.png,masks/NIH_0073_mask.png
NIH_0074,00003538_000.png,images/NIH_0074.png,masks/NIH_0074_mask.png
NIH_0008,00010007_157.png,images/NIH_0008.png,masks/NIH_0008_mask.png
NIH_0006,00014004_048.png,images/NIH_0006.png,masks/NIH_0006_mask.png
NIH_0001,00005502_010.png,images/NIH_0001.png,masks/NIH_0001_mask.png
NIH_0024,00027441_015.png,images/NIH_0024.png,masks/NIH_0024_mask.png
NIH_0100,00008943_002.png,images/NIH_0100.png,masks/NIH_0100_mask.png
NIH_0058,00017470_004.png,images/NIH_0058.png,masks/NIH_0058_mask.png
NIH_0089,00008237_002.png,images/NIH_0089.png,masks/NIH_0089_mask.png
NIH_0023,00001483_013.png,images/NIH_0023.png,masks/NIH_0023_mask.png
NIH_0051,00013922_028.png,images/NIH_0051.png,masks/NIH_0051_mask.png
NIH_0080,00022034_002.png,images/NIH_0080.png,masks/NIH_0080_mask.png
NIH_0056,00004832_031.png,images/NIH_0056.png,masks/NIH_0056_mask.png
NIH_0087,00021449_002.png,images/NIH_0087.png,masks/NIH_0087_mask.png
NIH_0063,00029855_001.png,images/NIH_0063.png,masks/NIH_0063_mask.png
NIH_0064,00005593_011.png,images/NIH_0064.png,masks/NIH_0064_mask.png
NIH_0018,00021154_005.png,images/NIH_0018.png,masks/NIH_0018_mask.png
NIH_0016,00017214_015.png,images/NIH_0016.png,masks/NIH_0016_mask.png
NIH_0011,00001248_026.png,images/NIH_0011.png,masks/NIH_0011_mask.png
NIH_0007,00017110_010.png,images/NIH_0007.png,masks/NIH_0007_mask.png
NIH_0075,00014177_017.png,images/NIH_0075.png,masks/NIH_0075_mask.png
NIH_0009,00009479_002.png,images/NIH_0009.png,masks/NIH_0009_mask.png
NIH_0072,00020408_067.png,images/NIH_0072.png,masks/NIH_0072_mask.png
NIH_0096,00000997_004.png,images/NIH_0096.png,masks/NIH_0096_mask.png
NIH_0047,00000643_003.png,images/NIH_0047.png,masks/NIH_0047_mask.png
NIH_0091,00013249_056.png,images/NIH_0091.png,masks/NIH_0091_mask.png
NIH_0040,00029154_000.png,images/NIH_0040.png,masks/NIH_0040_mask.png
NIH_0032,00017801_003.png,images/NIH_0032.png,masks/NIH_0032_mask.png
NIH_0035,00010352_021.png,images/NIH_0035.png,masks/NIH_0035_mask.png
NIH_0098,00003510_006.png,images/NIH_0098.png,masks/NIH_0098_mask.png
NIH_0049,00002239_007.png,images/NIH_0049.png,masks/NIH_0049_mask.png
NIH_0078,00019176_098.png,images/NIH_0078.png,masks/NIH_0078_mask.png
NIH_0004,00004342_053.png,images/NIH_0004.png,masks/NIH_0004_mask.png
NIH_0003,00012364_037.png,images/NIH_0003.png,masks/NIH_0003_mask.png
NIH_0071,00011702_012.png,images/NIH_0071.png,masks/NIH_0071_mask.png
NIH_0076,00006481_023.png,images/NIH_0076.png,masks/NIH_0076_mask.png
NIH_0092,00006322_001.png,images/NIH_0092.png,masks/NIH_0092_mask.png
NIH_0043,00013760_000.png,images/NIH_0043.png,masks/NIH_0043_mask.png
NIH_0038,00021341_012.png,images/NIH_0038.png,masks/NIH_0038_mask.png
NIH_0095,00026908_003.png,images/NIH_0095.png,masks/NIH_0095_mask.png
NIH_0044,00008037_002.png,images/NIH_0044.png,masks/NIH_0044_mask.png
NIH_0036,00030772_002.png,images/NIH_0036.png,masks/NIH_0036_mask.png
NIH_0031,00023073_000.png,images/NIH_0031.png,masks/NIH_0031_mask.png
NIH_0020,00021420_000.png,images/NIH_0020.png,masks/NIH_0020_mask.png
NIH_0027,00010684_007.png,images/NIH_0027.png,masks/NIH_0027_mask.png
NIH_0029,00030573_003.png,images/NIH_0029.png,masks/NIH_0029_mask.png
NIH_0055,00025513_001.png,images/NIH_0055.png,masks/NIH_0055_mask.png
NIH_0084,00001684_025.png,images/NIH_0084.png,masks/NIH_0084_mask.png
NIH_0052,00011543_017.png,images/NIH_0052.png,masks/NIH_0052_mask.png
NIH_0083,00010773_008.png,images/NIH_0083.png,masks/NIH_0083_mask.png
NIH_0067,00015443_017.png,images/NIH_0067.png,masks/NIH_0067_mask.png
NIH_0060,00002395_015.png,images/NIH_0060.png,masks/NIH_0060_mask.png
NIH_0012,00013613_025.png,images/NIH_0012.png,masks/NIH_0012_mask.png
NIH_0069,00010680_001.png,images/NIH_0069.png,masks/NIH_0069_mask.png
NIH_0015,00004156_004.png,images/NIH_0015.png,masks/NIH_0015_mask.png
NIH_0030,00016508_004.png,images/NIH_0030.png,masks/NIH_0030_mask.png
NIH_0037,00016291_038.png,images/NIH_0037.png,masks/NIH_0037_mask.png
NIH_0039,00025822_005.png,images/NIH_0039.png,masks/NIH_0039_mask.png
NIH_0094,00002386_003.png,images/NIH_0094.png,masks/NIH_0094_mask.png
NIH_0045,00001317_001.png,images/NIH_0045.png,masks/NIH_0045_mask.png
NIH_0093,00025954_030.png,images/NIH_0093.png,masks/NIH_0093_mask.png
NIH_0042,00009945_006.png,images/NIH_0042.png,masks/NIH_0042_mask.png
NIH_0077,00013993_068.png,images/NIH_0077.png,masks/NIH_0077_mask.png
NIH_0070,00013527_000.png,images/NIH_0070.png,masks/NIH_0070_mask.png
NIH_0002,00002350_021.png,images/NIH_0002.png,masks/NIH_0002_mask.png
NIH_0079,00007576_043.png,images/NIH_0079.png,masks/NIH_0079_mask.png
NIH_0005,00015443_014.png,images/NIH_0005.png,masks/NIH_0005_mask.png
NIH_0068,00025839_008.png,images/NIH_0068.png,masks/NIH_0068_mask.png
NIH_0014,00014626_026.png,images/NIH_0014.png,masks/NIH_0014_mask.png
NIH_0013,00018080_006.png,images/NIH_0013.png,masks/NIH_0013_mask.png
NIH_0061,00009114_009.png,images/NIH_0061.png,masks/NIH_0061_mask.png
NIH_0066,00018610_038.png,images/NIH_0066.png,masks/NIH_0066_mask.png
NIH_0053,00000063_000.png,images/NIH_0053.png,masks/NIH_0053_mask.png
NIH_0082,00009138_028.png,images/NIH_0082.png,masks/NIH_0082_mask.png
NIH_0028,00006498_003.png,images/NIH_0028.png,masks/NIH_0028_mask.png
NIH_0054,00006620_000.png,images/NIH_0054.png,masks/NIH_0054_mask.png
NIH_0085,00005288_013.png,images/NIH_0085.png,masks/NIH_0085_mask.png
NIH_0026,00001836_069.png,images/NIH_0026.png,masks/NIH_0026_mask.png
NIH_0021,00006679_018.png,images/NIH_0021.png,masks/NIH_0021_mask.png
